,precision,recall,f1-score,support
0,0.9960508742435642,0.9073665362555053,0.9496427075968397,304933.0
1,0.13506644620001224,0.8008351488743646,0.23114814232563013,5508.0
accuracy,0.9054764029235829,0.9054764029235829,0.9054764029235829,0.9054764029235829
macro avg,0.5655586602217882,0.854100842564935,0.5903954249612349,310441.0
weighted avg,0.9807748564828178,0.9054764029235829,0.9368948164822193,310441.0
